arrival_iso,device_id,sequence,latency_ms,sent_iso
2025-11-02 03:53:25,dev-004b12c48530,489,37938.106,2025-11-02 03:52:48
2025-11-02 03:53:26,dev-004b12c48530,490,38859.708,2025-11-02 03:52:48
2025-11-02 03:53:27,dev-004b12c48530,491,39883.778,2025-11-02 03:52:48
2025-11-02 03:53:28,dev-004b12c48530,492,40907.722,2025-11-02 03:52:48
2025-11-02 03:53:29,dev-004b12c48530,493,41856.651,2025-11-02 03:52:48
2025-11-02 03:53:30,dev-004b12c48530,494,42955.730,2025-11-02 03:52:48
2025-11-02 03:53:31,dev-004b12c48530,495,43878.710,2025-11-02 03:52:48
2025-11-02 03:53:32,dev-004b12c48530,496,44901.252,2025-11-02 03:52:48
2025-11-02 03:53:33,dev-004b12c48530,497,45868.569,2025-11-02 03:52:48
2025-11-02 03:53:34,dev-004b12c48530,498,46949.214,2025-11-02 03:52:48
2025-11-02 03:53:35,dev-004b12c48530,499,47973.162,2025-11-02 03:52:48
2025-11-02 03:53:36,dev-004b12c48530,500,48894.818,2025-11-02 03:52:48
2025-11-02 03:53:37,dev-004b12c48530,501,49918.784,2025-11-02 03:52:48
2025-11-02 03:53:38,dev-004b12c48530,502,50942.818,2025-11-02 03:52:48
2025-11-02 03:53:39,dev-004b12c48530,503,51966.812,2025-11-02 03:52:48
2025-11-02 03:53:40,dev-004b12c48530,504,52990.799,2025-11-02 03:52:48
2025-11-02 03:53:41,dev-004b12c48530,505,53912.431,2025-11-02 03:52:48
2025-11-02 03:53:42,dev-004b12c48530,506,54936.439,2025-11-02 03:52:48
2025-11-02 03:53:43,dev-004b12c48530,507,55960.463,2025-11-02 03:52:48
2025-11-02 03:53:44,dev-004b12c48530,508,56984.751,2025-11-02 03:52:48
2025-11-02 03:53:46,dev-004b12c48530,509,58008.703,2025-11-02 03:52:48
2025-11-02 03:53:46,dev-004b12c48530,510,58930.118,2025-11-02 03:52:48
2025-11-02 03:53:47,dev-004b12c48530,511,59954.291,2025-11-02 03:52:48
2025-11-02 03:53:48,dev-004b12c48530,512,60978.190,2025-11-02 03:52:48
2025-11-02 03:53:50,dev-004b12c48530,513,62002.229,2025-11-02 03:52:48
2025-11-02 03:53:51,dev-004b12c48530,514,63026.155,2025-11-02 03:52:48
2025-11-02 03:53:51,dev-004b12c48530,515,63947.728,2025-11-02 03:52:48
2025-11-02 03:53:52,dev-004b12c48530,516,-63028.287,2025-11-02 03:54:56
2025-11-02 03:53:53,dev-004b12c48530,517,-62004.103,2025-11-02 03:54:56
2025-11-02 03:53:55,dev-004b12c48530,518,-60980.249,2025-11-02 03:54:56
2025-11-02 03:53:56,dev-004b12c48530,519,-59956.199,2025-11-02 03:54:56
2025-11-02 03:53:56,dev-004b12c48530,520,-59034.618,2025-11-02 03:54:56
2025-11-02 03:53:57,dev-004b12c48530,521,-58010.344,2025-11-02 03:54:56
2025-11-02 03:53:59,dev-004b12c48530,522,-56986.269,2025-11-02 03:54:56
2025-11-02 03:53:59,dev-004b12c48530,523,-56046.229,2025-11-02 03:54:56
2025-11-02 03:54:01,dev-004b12c48530,524,-54938.429,2025-11-02 03:54:56
2025-11-02 03:54:01,dev-004b12c48530,525,-54016.511,2025-11-02 03:54:56
2025-11-02 03:54:03,dev-004b12c48530,526,-52992.917,2025-11-02 03:54:56
2025-11-02 03:54:03,dev-004b12c3c510,0,1762023236900.972,1970-01-01 09:00:07
2025-11-02 03:54:03,dev-004b12c48530,527,-52034.399,2025-11-02 03:54:56
2025-11-02 03:54:04,dev-004b12c3c510,1,-51354.619,2025-11-02 03:54:56
2025-11-02 03:54:05,dev-004b12c48530,528,-50945.098,2025-11-02 03:54:56
2025-11-02 03:54:05,dev-004b12c3c510,2,-50330.572,2025-11-02 03:54:56
2025-11-02 03:54:06,dev-004b12c48530,529,-49920.924,2025-11-02 03:54:56
2025-11-02 03:54:06,dev-004b12c3c510,3,-49408.787,2025-11-02 03:54:56
2025-11-02 03:54:07,dev-004b12c48530,530,-48999.433,2025-11-02 03:54:56
2025-11-02 03:54:07,dev-004b12c3c510,4,-48384.949,2025-11-02 03:54:56
2025-11-02 03:54:08,dev-004b12c48530,531,-47975.265,2025-11-02 03:54:56
2025-11-02 03:54:08,dev-004b12c3c510,5,-47360.934,2025-11-02 03:54:56
2025-11-02 03:54:09,dev-004b12c48530,532,-46951.468,2025-11-02 03:54:56
2025-11-02 03:54:09,dev-004b12c3c510,6,-46337.287,2025-11-02 03:54:56
2025-11-02 03:54:09,dev-004b12c48530,533,-46016.567,2025-11-02 03:54:56
2025-11-02 03:54:10,dev-004b12c3c510,7,-45313.076,2025-11-02 03:54:56
2025-11-02 03:54:10,dev-004b12c48530,534,-45005.931,2025-11-02 03:54:56
2025-11-02 03:54:11,dev-004b12c3c510,8,-44391.359,2025-11-02 03:54:56
2025-11-02 03:54:12,dev-004b12c48530,535,-43980.223,2025-11-02 03:54:56
2025-11-02 03:54:12,dev-004b12c3c510,9,-43367.376,2025-11-02 03:54:56
2025-11-02 03:54:13,dev-004b12c48530,536,-42957.834,2025-11-02 03:54:56
2025-11-02 03:54:14,dev-004b12c48530,537,-41933.854,2025-11-02 03:54:56
2025-11-02 03:54:15,dev-004b12c48530,538,-40909.859,2025-11-02 03:54:56
2025-11-02 03:54:16,dev-004b12c48530,539,-39988.164,2025-11-02 03:54:56
2025-11-02 03:54:17,dev-004b12c48530,540,-38964.185,2025-11-02 03:54:56
2025-11-02 03:54:18,dev-004b12c48530,541,-37940.069,2025-11-02 03:54:56
2025-11-02 03:54:19,dev-004b12c48530,542,-36916.184,2025-11-02 03:54:56
2025-11-02 03:54:20,dev-004b12c48530,543,-35892.139,2025-11-02 03:54:56
2025-11-02 03:54:21,dev-004b12c48530,544,-34970.570,2025-11-02 03:54:56
2025-11-02 03:54:22,dev-004b12c48530,545,-33946.355,2025-11-02 03:54:56
2025-11-02 03:54:23,dev-004b12c48530,546,-32922.493,2025-11-02 03:54:56
2025-11-02 03:54:24,dev-004b12c48530,547,-31898.564,2025-11-02 03:54:56
2025-11-02 03:54:25,dev-004b12c48530,548,-30874.305,2025-11-02 03:54:56
2025-11-02 03:54:26,dev-004b12c48530,549,-29952.929,2025-11-02 03:54:56
2025-11-02 03:54:27,dev-004b12c48530,550,-28928.964,2025-11-02 03:54:56
2025-11-02 03:54:28,dev-004b12c48530,551,-27904.760,2025-11-02 03:54:56
2025-11-02 03:54:29,dev-004b12c48530,552,-26880.754,2025-11-02 03:54:56
2025-11-02 03:54:30,dev-004b12c48530,553,-25950.729,2025-11-02 03:54:56
2025-11-02 03:54:31,dev-004b12c48530,554,-24935.623,2025-11-02 03:54:56
2025-11-02 03:54:32,dev-004b12c48530,555,-23911.350,2025-11-02 03:54:56
2025-11-02 03:54:32,dev-004b12c3c510,0,1762023268763.075,1970-01-01 09:00:03
2025-11-02 03:54:33,dev-004b12c48530,556,-22887.270,2025-11-02 03:54:56
2025-11-02 03:54:33,dev-004b12c3c510,1,-22578.827,2025-11-02 03:54:56
2025-11-02 03:54:34,dev-004b12c48530,557,-21863.327,2025-11-02 03:54:56
2025-11-02 03:54:34,dev-004b12c3c510,2,-21554.708,2025-11-02 03:54:56
